codsbs,tipcreditosbs,codempsistemafinancierodeuda,codctacontablesbs,codmoneda,tipcondiciondiamorosidad,mtodeudasol,tipclasifriesgoempsistemafinan,codrubroicc,codmes
0069947689,10,00104,14110206020000,0001,0.0,12248.7,0,004,202201
0069947689,10,00108,14180200000000,0001,0.0,219.9,0,000,202201
0069947689,10,00108,14110206020000,0001,0.0,17011.65,0,004,202201
0069947689,10,00108,84140900000000,0001,0.0,9180.0,0,042,202201
0069947689,10,00104,29110101000000,0001,0.0,160.57,0,000,202201
0069947689,10,00104,14180200000000,0001,0.0,224.04,0,000,202201
0089975085,10,00238,14110206020000,0001,0.0,4010.0,0,004,202201
0089975085,10,00238,14180200000000,0001,0.0,62.67,0,000,202201
0072744462,10,00228,15150102000000,0001,0.0,21.65,0,000,202201
0072744462,10,00228,29110101000000,0001,0.0,12.61,0,000,202201
0072744462,10,00228,84141000000000,0001,0.0,119171.7,0,000,202201
0072744462,10,00228,14180200000000,0001,0.0,70.56,0,000,202201
0072744462,10,00228,14110206020000,0001,0.0,3972.39,0,004,202201
0052437482,09,00107,14181300000000,0001,0.0,1120.23,0,000,202201
0052437482,09,00123,84141000000000,0001,0.0,10183.65,0,000,202201
0052437482,12,00109,14110306050000,0001,0.0,484.26,0,004,202201
0052437482,09,00123,14181300000000,0001,0.0,194.62,0,000,202201
0052437482,09,00123,84140900000000,0001,0.0,1.0,0,042,202201
0052437482,12,00109,84140900000000,0001,0.0,3100.0,0,042,202201
0052437482,09,00107,84141000000000,0001,0.0,74677.82,0,000,202201
0052437482,09,00107,84140900000000,0001,0.0,73981.96,0,042,202201
0052437482,09,00123,14111306020000,0001,0.0,10183.65,0,004,202201
0052437482,12,00109,14180300000000,0001,0.0,15.89,0,000,202201
0052437482,09,00107,14111306020000,0001,0.0,74677.82,0,004,202201
0071588351,10,00123,14180200000000,0001,0.0,415.61,0,000,202201
0071588351,10,00123,84140511000000,0001,0.0,7693.33,0,000,202201
0071588351,10,00109,14110206020000,0001,0.0,4226.07,0,004,202201
0071588351,10,00123,72150302010000,0001,0.0,34732.78,0,000,202201
0071588351,10,00123,81180102020000,0001,0.0,157.01,0,000,202201
0071588351,10,00123,84140900000000,0001,0.0,3.0,0,042,202201
0071588351,10,00109,14180200000000,0001,0.0,38.23,0,000,202201
0071588351,10,00123,14110206020000,0001,0.0,25859.05,0,004,202201
0071588351,10,00123,81180102010000,0001,0.0,7693.33,0,000,202201
0071588351,10,00109,84140900000000,0001,0.0,120000.0,0,042,202201
0083661526,09,00104,14111306020000,0001,0.0,59807.22,0,004,202201
0083661526,09,00104,84141000000000,0001,0.0,48605.05,0,000,202201
0083661526,09,00104,14181300000000,0001,0.0,910.04,0,000,202201
0057984864,10,00123,84140900000000,0001,0.0,1.0,0,042,202201
0057984864,10,00123,14180200000000,0001,0.0,128.34,0,000,202201
0057984864,10,00123,72150302010000,0001,0.0,2126.94,0,000,202201
0057984864,10,00123,14110206020000,0001,0.0,10183.65,0,004,202201
0085173103,10,00156,15150102000000,0001,0.0,23.45,0,000,202201
0085173103,10,00156,14180200000000,0001,0.0,158.45,0,000,202201
0085173103,10,00156,14110206020000,0001,0.0,10127.9,0,004,202201
0087655547,09,00156,14181300000000,0001,0.0,262.44,0,000,202201
0087655547,12,00107,14180300000000,0001,0.0,667.47,0,000,202201
0087655547,09,00156,15150102000000,0001,0.0,31.18,0,000,202201
0087655547,09,00156,14111306020000,0001,0.0,28965.19,0,004,202201
0087655547,12,00107,14110306020000,0001,0.0,5502.09,0,004,202201
0087655547,12,00107,84140900000000,0001,0.0,5502.09,0,042,202201
0073639468,10,00228,84141000000000,0001,0.0,20800.0,0,000,202201
0073639468,10,00228,14110206020000,0001,0.0,3300.0,0,004,202201
0073639468,10,00228,14180200000000,0001,0.0,82.13,0,000,202201
0073639468,10,00228,15150102000000,0001,0.0,17.99,0,000,202201
0052030684,09,00156,81181113010000,0001,0.0,10044.96,0,000,202201
