CODCLAVECIC,FECHA,HORA,CANTIDAD,PRECIO
14500,01/03/22,08:51:03,2000000.0,20.0
2705162,01/03/22,09:01:44,100000.0,60.0
47638,01/03/22,09:02:58,120000.0,250.0
1570837,01/03/22,09:03:28,5000.0,220.0
83580,01/03/22,09:06:16,5000.0,300.0
11171322,01/03/22,09:06:30,5000.0,260.0
2800546,01/03/22,09:07:13,100000.0,110.0
5747193,01/03/22,09:08:44,30000.0,20.0
22862466,01/03/22,09:08:54,20000.0,410.0
25056488,01/03/22,09:10:37,4000.0,560.0
19367357,01/03/22,09:10:48,20000.0,660.0
10979848,01/03/22,09:12:58,35000.0,550.0
64188,01/03/22,09:13:27,15000.0,700.0
12350956,01/03/22,09:13:54,16000.0,750.0
71737,01/03/22,09:13:58,30000.0,130.0
23330547,01/03/22,09:14:59,5000.0,200.0
5851805,01/03/22,09:15:19,30000.0,100.0
5449105,01/03/22,09:15:53,35000.0,130.0
23792701,01/03/22,09:16:36,7000.0,260.0
84573,01/03/22,09:16:36,33000.0,160.0
69539,01/03/22,09:17:03,16000.0,270.0
2800545,01/03/22,09:17:07,50000.0,150.0
19802490,01/03/22,09:17:18,5000.0,500.0
21558639,01/03/22,09:18:04,20000.0,50.0
3436430,01/03/22,09:18:59,10000.0,750.0
4564412,01/03/22,09:19:48,7000.0,450.0
87172,01/03/22,09:19:53,264200.79,100.0
70694,01/03/22,09:20:08,10000.0,300.0
55857,01/03/22,09:21:06,500000.0,100.0
13246543,01/03/22,09:21:50,75000.0,150.0
636860,01/03/22,09:23:12,200000.0,280.0
1073429,01/03/22,09:23:20,15000.0,100.0
3516775,01/03/22,09:24:04,15000.0,550.0
9887419,01/03/22,09:24:31,20000.0,200.0
971039,01/03/22,09:24:45,50000.0,50.0
4642560,01/03/22,09:24:58,20000.0,380.0
9316034,01/03/22,09:25:40,70000.0,240.0
12452947,01/03/22,09:25:43,20000.0,40.0
5574836,01/03/22,09:27:51,39787.8,230.0
5421221,01/03/22,09:30:55,7000.0,350.0
29001,01/03/22,09:31:13,500000.0,160.0
9091207,01/03/22,09:31:30,19000.0,650.0
8377095,01/03/22,09:31:41,100000.0,550.0
19409,01/03/22,09:31:48,50000.0,40.0
33998,01/03/22,09:32:26,45000.0,120.0
71393,01/03/22,09:33:02,60000.0,170.0
7345032,01/03/22,09:34:51,30000.0,200.0
339545,01/03/22,09:35:04,20000.0,90.0
11377880,01/03/22,09:35:19,15300.0,650.0
19875796,01/03/22,09:38:18,50000.0,250.0
71834,01/03/22,09:38:21,6000.0,210.0
10829677,01/03/22,09:39:06,30000.0,110.0
15232,01/03/22,09:39:08,10000.0,130.0
17574179,01/03/22,09:39:09,30000.0,200.0
6767915,01/03/22,09:39:13,96233.82,29.0
